Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13
;Расходы на привлечение;;;;;;;;;;;;
;;;;;;;;;;;;;
;Месяц;1;2;3;4;5;6;7;8;9;10;11;12
;Бюджет на привлечение;р.432 255;р.242 610;р.436 132;р.218 092;р.454 565;р.380 563;р.201 027;р.491 992;р.289 246;р.306 260;р.219 894;р.252 443
;Зарплата маркетолога;р.80 000;р.80 000;р.80 000;р.80 000;р.80 000;р.80 000;р.100 000;р.100 000;р.100 000;р.100 000;р.100 000;р.100 000
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;140,0;;;;;;;;;;;
;;293,0;;;;;;;;;;;
;;246,0;;;;;;;;;;;
;;206,0;;;;;;;;;;;
;;176,0;;;;;;;;;;;
;;173,0;;;;;;;;;;;
;;144,0;;;;;;;;;;;
;;144,0;;;;;;;;;;;
;;124,0;;;;;;;;;;;
;;101,0;;;;;;;;;;;
;;98,0;;;;;;;;;;;
;;99,0;;;;;;;;;;;
;;34,0;;;;;;;;;;;
